,Variable Name,Description,Type,Code=Value,Source File
55,volsum1c,"MEAN: TOTAL VOLUME SCORE, UNADJUSTED",NUMERIC,,Exam1
56,massm1c,MEAN: CAC ARTERIAL MASS,NUMERIC,,Exam1
57,agatpm1c,"MEAN: AGATSTON CALCIUM SCORE, PHANTOM-ADJUSTED",NUMERIC,,Exam1
58,agatpm1t,NATURAL LOG-TRANSFORMED PHANTOM-ADJUSTED AGATSTON SCORE (POSITIVE SCORES ONLY) - E1,NUMERIC,,Exam1
59,cacgt01c,PRESENCE OF CALCIUM INDICATOR - E1,NUMERIC,0=NO; 1=YES,Exam1
60,volpm1c,"MEAN: TOTAL CALCIUM VOLUME, PHANTOM-ADJUSTED",NUMERIC,,Exam1
61,volspm1c,"MEAN TOTAL ISOMETRIC VOLUME SCORE, PHANTOM ADJUSTED",NUMERIC,,Exam1
62,agatu11c,"SCAN 1: AGATSTON CALCIUM SCORE, UNADJUSTED",NUMERIC,,Exam1
63,volu11c,"SCAN 1: TOTAL CALCIUM VOLUME, UNADJUSTED",NUMERIC,,Exam1
64,volsu11c,"SCAN 1: TOTAL VOLUME SCORE, UNADJUSTED",NUMERIC,,Exam1
65,mass11c,SCAN 1: CAC ARTERIAL MASS,NUMERIC,,Exam1
66,agatp11c,"SCAN 1: AGATSTON CALCIUM SCORE, PHANTOM-ADJUSTED",NUMERIC,,Exam1
67,volp11c,"SCAN 1: TOTAL CALCIUM VOLUME, PHANTOM-ADJUSTED",NUMERIC,,Exam1
68,volsp11c,"SCAN 1: TOTAL VOLUME SCORE, PHANTOM-ADJUSTED",NUMERIC,,Exam1
69,phok11c,SCAN 1: PHANTOM ADJUSTMENT VALID,NUMERIC,0=NOT VALID; 1=VALID,Exam1
70,agatu21c,"SCAN 2: AGATSTON CALCIUM SCORE, UNADJUSTED",NUMERIC,,Exam1
71,volu21c,"SCAN 2: TOTAL CALCIUM VOLUME, UNADJUSTED",NUMERIC,,Exam1
72,volsu21c,"SCAN 2: TOTAL VOLUME SCORE, UNADJUSTED",NUMERIC,,Exam1
73,mass21c,SCAN 2: CAC ARTERIAL MASS,NUMERIC,,Exam1
74,agatp21c,"SCAN 2: AGATSTON CALCIUM SCORE, PHANTOM-ADJUSTED",NUMERIC,,Exam1
75,volp21c,"SCAN 2: TOTAL CALCIUM VOLUME, PHANTOM-ADJUSTED",NUMERIC,,Exam1
76,volsp21c,"SCAN 2: TOTAL VOLUME SCORE, PHANTOM-ADJUSTED",NUMERIC,,Exam1
77,phok21c,SCAN 2: PHANTOM ADJUSTMENT VALID,NUMERIC,0=NOT VALID; 1=VALID,Exam1
78,cacq1c,"AGE, GENDER, RACE-ADJUSTED QUANTILES OF CAC SCORE (MCCLELLAND, CIRCULATION 2006), BETWEEN PRCACGT0 AND 1",NUMERIC,,Exam1
79,prcacgt01c,"AGE, GENDER, RACE-ADJUSTED PROBABILITY OF A NON-ZERO CALCIUM SCORE (MCCLELLAND, CIRCULATION 2006)",NUMERIC,,Exam1
80,ctsmod1,EXAM 1 CT SCANNER MODEL,NUMERIC,1=AQUILION; 2=AQUILION 64; 3=IMATRON C-150; 4=INNER EBT; 5=LIGHT SPEED 16; 6=LIGHT SPEED PLUS; 7=LIGHT SPEED PRO 16; 8=LIGHT SPEED QX/I; 9=SENSATION 16; 10=SENSATION CARDIAC 64; 11=VOLUME ZOOM,Exam1
81,cystatc1,CYSTATIN C (mg/L),NUMERIC,,Exam1
82,ecglvh1c,LEFT VENTRICULAR HYPERTROPHY BY NOVACODE,NUMERIC,0=NO; 1=YES,Exam1
83,afib1c,ATRIAL FIBRILLATION / FLUTTER BY NOVACODE,NUMERIC,0=NO; 1=YES,Exam1
84,epicare1,EPICARE SEQUENCE NUMBER,NUMERIC,,Exam1
85,prdur1,PR INTERVAL (MSEC),NUMERIC,,Exam1
86,qrsdur1,QRS INTERVAL (MSEC),NUMERIC,,Exam1
87,qtdur1,QT INTERVAL (MSEC),NUMERIC,,Exam1
88,qtcdur1,QTC INTERVAL (MSEC),NUMERIC,,Exam1
89,paxis1,P AXIS (DEGREES),NUMERIC,,Exam1
90,qrsaxis1,QRS AXIS (DEGREES),NUMERIC,,Exam1
91,taxis1,T AXIS (DEGREES),NUMERIC,,Exam1
92,ecgqgrd1,ECG QUALITY GRADE,NUMERIC,,Exam1
93,leadswp1,LEAD CONNECTION INTERCHANGE,NUMERIC,,Exam1
94,ncvp1a1,NOVACODE 1 RHYTHM SCORE A,STRING,,Exam1
95,ncvp1b1,NOVACODE 1 RHYTHM SCORE B,STRING,,Exam1
96,ncvp1c1,NOVACODE 1 RHYTHM SCORE C,STRING,,Exam1
97,ncvp1d1,NOVACODE 1 RHYTHM SCORE D,STRING,,Exam1
98,ncvp1e1,NOVACODE 1 RHYTHM SCORE E,STRING,,Exam1
99,ncvp1f1,NOVACODE 1 RHYTHM SCORE F,STRING,,Exam1
100,ncvp1g1,NOVACODE 1 RHYTHM SCORE G,STRING,,Exam1
101,ncsuppa1,NOVACODE 1 SUPPLEMENTAL SCORE A,STRING,,Exam1
102,ncsuppb1,NOVACODE 1 SUPPLEMENTAL SCORE B,STRING,,Exam1
103,ncsuppc1,NOVACODE 1 SUPPLEMENTAL SCORE C,STRING,,Exam1
104,ncsuppd1,NOVACODE 1 SUPPLEMENTAL SCORE D,STRING,,Exam1
105,ncsuppe1,NOVACODE 1 SUPPLEMENTAL SCORE E,STRING,,Exam1
106,ncsuppf1,NOVACODE 1 SUPPLEMENTAL SCORE F,STRING,,Exam1
107,ncsuppg1,NOVACODE 1 SUPPLEMENTAL SCORE G,STRING,,Exam1
108,ncsp21,NOVACODE PREVALENT CODE 2: SOFTWARE,STRING,,Exam1
109,ncsp31,NOVACODE PREVALENT CODE 3: SOFTWARE,STRING,,Exam1
110,ncsp41,NOVACODE PREVALENT CODE 4: SOFTWARE,STRING,,Exam1
111,ncsp51,NOVACODE PREVALENT CODE 5: SOFTWARE,STRING,,Exam1
112,ncsp61,NOVACODE PREVALENT CODE 6: SOFTWARE,STRING,,Exam1
113,ncsp71,NOVACODE PREVALENT CODE 7: SOFTWARE,STRING,,Exam1
114,ncsp81,NOVACODE PREVALENT CODE 8: SOFTWARE,STRING,,Exam1
115,ncsp91,NOVACODE PREVALENT CODE 9: SOFTWARE,STRING,,Exam1
116,ncsp101,NOVACODE PREVALENT CODE 10: SOFTWARE,STRING,,Exam1
117,ncvp21,NOVACODE PREVALENT CODE 2: VISUAL,STRING,,Exam1
118,ncvp31,NOVACODE PREVALENT CODE 3: VISUAL,STRING,,Exam1
119,ncvp41,NOVACODE PREVALENT CODE 4: VISUAL,STRING,,Exam1
120,ncvp51,NOVACODE PREVALENT CODE 5: VISUAL,STRING,,Exam1
121,ncvp61,NOVACODE PREVALENT CODE 6: VISUAL,STRING,,Exam1
122,ncvp71,NOVACODE PREVALENT CODE 7: VISUAL,STRING,,Exam1
123,ncvp81,NOVACODE PREVALENT CODE 8: VISUAL,STRING,,Exam1
124,ncvp91,NOVACODE PREVALENT CODE 9: VISUAL,STRING,,Exam1
125,ncvp101,NOVACODE PREVALENT CODE 10: VISUAL,STRING,,Exam1
126,mcl11,MINNESOTA CODE 1 SCORE: L LEADGROUP,STRING,,Exam1
127,mcl41,MINNESOTA CODE 4 SCORE: L LEADGROUP,STRING,,Exam1
128,mcl51,MINNESOTA CODE 5 SCORE: L LEADGROUP,STRING,,Exam1
129,mcl921,MINNESOTA CODE 92 SCORE: L LEADGROUP,STRING,,Exam1
130,mcf11,MINNESOTA CODE 1 SCORE: F LEADGROUP,STRING,,Exam1
131,mcf41,MINNESOTA CODE 4 SCORE: F LEADGROUP,STRING,,Exam1
132,mcf51,MINNESOTA CODE 5 SCORE: F LEADGROUP,STRING,,Exam1
133,mcf921,MINNESOTA CODE 92 SCORE: F LEADGROUP,STRING,,Exam1
134,mcv11,MINNESOTA CODE 1 SCORE: V LEADGROUP,STRING,,Exam1
135,mcv41,MINNESOTA CODE 4 SCORE: V LEADGROUP,STRING,,Exam1
136,mcv51,MINNESOTA CODE 5 SCORE: V LEADGROUP,STRING,,Exam1
137,mcv921,MINNESOTA CODE 92 SCORE: V LEADGROUP,STRING,,Exam1
138,mc21,MINNESOTA CODE 2 SCORE,STRING,,Exam1
139,mc31,MINNESOTA CODE 3 SCORE,STRING,,Exam1
140,mc71,MINNESOTA CODE 7 SCORE,STRING,,Exam1
141,mc911,MINNESOTA CODE 9.1 SCORE,STRING,,Exam1
142,mc931,MINNESOTA CODE 9.3 SCORE,STRING,,Exam1
143,mc941,MINNESOTA CODE 9.4 SCORE,STRING,,Exam1
144,mc951,MINNESOTA CODE 9.5 SCORE,STRING,,Exam1
145,mcr611,MINNESOTA CODE 6 SCORE: VISUAL 1,STRING,,Exam1
146,mcr621,MINNESOTA CODE 6 SCORE: VISUAL 2,STRING,,Exam1
147,mcr631,MINNESOTA CODE 6 SCORE: VISUAL 3,STRING,,Exam1
148,mcr641,MINNESOTA CODE 6 SCORE: VISUAL 4,STRING,,Exam1
149,mcr651,MINNESOTA CODE 6 SCORE: VISUAL 5,STRING,,Exam1
150,mcr681,MINNESOTA CODE 6 SCORE: VISUAL 8,STRING,,Exam1
151,mcr811,MINNESOTA CODE 8 SCORE: VISUAL 1,STRING,,Exam1
152,mcr821,MINNESOTA CODE 8 SCORE: VISUAL 2,STRING,,Exam1
153,mcr831,MINNESOTA CODE 8 SCORE: VISUAL 3,STRING,,Exam1
154,mcr841,MINNESOTA CODE 8 SCORE: VISUAL 4,STRING,,Exam1
155,mcr861,MINNESOTA CODE 8 SCORE: VISUAL 6,STRING,,Exam1
156,mcr871,MINNESOTA CODE 8 SCORE: VISUAL 7,STRING,,Exam1
157,mcr881,MINNESOTA CODE 8 SCORE: VISUAL 8,STRING,,Exam1
158,mcr891,MINNESOTA CODE 8 SCORE: VISUAL 9,STRING,,Exam1
159,rmsdd1,ESTIMATE OF HEART RATE VARIABILITY SHORT-TERM COMPONENTS,NUMERIC,,Exam1
160,sdnn1,ESTIMATE OF OVERALL HEART RATE VARIABILITY,NUMERIC,,Exam1
161,ecgnum1,TOTAL # ECGS USED IN HEART RATE VARIABILITY ANALYSIS,NUMERIC,,Exam1
162,baseseq1,BASELINE SEQ ID OF COMPAR REC FOR SERIAL ANALYSIS,NUMERIC,,Exam1
163,paxis1c,P AXIS (DEGREES) - WITH 999 VALUES RECODED TO MISSING,NUMERIC,,Exam1
164,prdur1c,PR INTERVAL (MSEC) - WITH 0=SUPRESSED RECODED TO MISSING,NUMERIC,,Exam1
165,qktempr1,I AM QUICK TEMPERED,NUMERIC,1=ALMOST NEVER; 2=SOMETIMES; 3=OFTEN; 4=ALMOST ALWAYS,Exam1
166,frtempr1,I HAVE A FIERY TEMPER,NUMERIC,1=ALMOST NEVER; 2=SOMETIMES; 3=OFTEN; 4=ALMOST ALWAYS,Exam1
167,hothead1,I AM A HOTHEADED PERSON,NUMERIC,1=ALMOST NEVER; 2=SOMETIMES; 3=OFTEN; 4=ALMOST ALWAYS,Exam1
168,angry1,I GET ANGRY WHEN SLOWED BY OTHERS' MISTAKES,NUMERIC,1=ALMOST NEVER; 2=SOMETIMES; 3=OFTEN; 4=ALMOST ALWAYS,Exam1
169,annoyed1,I AM ANNOYED WHEN NOT REGOGNIZED FOR GOOD WORK,NUMERIC,1=ALMOST NEVER; 2=SOMETIMES; 3=OFTEN; 4=ALMOST ALWAYS,Exam1
170,flyoff1,I FLY OFF THE HANDLE,NUMERIC,1=ALMOST NEVER; 2=SOMETIMES; 3=OFTEN; 4=ALMOST ALWAYS,Exam1
171,nasty1,I SAY NASTY THINGS WHEN MAD,NUMERIC,1=ALMOST NEVER; 2=SOMETIMES; 3=OFTEN; 4=ALMOST ALWAYS,Exam1
172,furious1,I GET FURIOUS WHEN CRITICIZED IN FRONT OF OTHERS,NUMERIC,1=ALMOST NEVER; 2=SOMETIMES; 3=OFTEN; 4=ALMOST ALWAYS,Exam1
173,fruhit1,I FEEL LIKE HITTING SOMEONE WHEN FRUSTRATED,NUMERIC,1=ALMOST NEVER; 2=SOMETIMES; 3=OFTEN; 4=ALMOST ALWAYS,Exam1
174,infurat1,I FEEL INFURIATED WHEN I DO A GOOD JOB AND GET A POOR EVALUATION,NUMERIC,1=ALMOST NEVER; 2=SOMETIMES; 3=OFTEN; 4=ALMOST ALWAYS,Exam1
175,steady1,I AM A STEADY PERSON,NUMERIC,1=ALMOST NEVER; 2=SOMETIMES; 3=OFTEN; 4=ALMOST ALWAYS,Exam1
176,satisf1,I FEEL SATISFIED WITH MYSELF,NUMERIC,1=ALMOST NEVER; 2=SOMETIMES; 3=OFTEN; 4=ALMOST ALWAYS,Exam1
177,nervous1,I FEEL NERVOUS AND RESTLESS,NUMERIC,1=ALMOST NEVER; 2=SOMETIMES; 3=OFTEN; 4=ALMOST ALWAYS,Exam1
178,unhappy1,I WISH TO BE AS HAPPY AS OTHERS SEEM TO BE,NUMERIC,1=ALMOST NEVER; 2=SOMETIMES; 3=OFTEN; 4=ALMOST ALWAYS,Exam1
179,failure1,I FEEL LIKE A FAILURE,NUMERIC,1=ALMOST NEVER; 2=SOMETIMES; 3=OFTEN; 4=ALMOST ALWAYS,Exam1
180,turmoil1,I FEEL TENSION WHEN I THINK OF RECENT CONCERNS/INTERESTS,NUMERIC,1=ALMOST NEVER; 2=SOMETIMES; 3=OFTEN; 4=ALMOST ALWAYS,Exam1
181,secure1,I FEEL SECURE,NUMERIC,1=ALMOST NEVER; 2=SOMETIMES; 3=OFTEN; 4=ALMOST ALWAYS,Exam1
182,noconf1,I LACK SELF-CONFIDENCE,NUMERIC,1=ALMOST NEVER; 2=SOMETIMES; 3=OFTEN; 4=ALMOST ALWAYS,Exam1
183,inadeqt1,I FEEL INADEQUATE,NUMERIC,1=ALMOST NEVER; 2=SOMETIMES; 3=OFTEN; 4=ALMOST ALWAYS,Exam1
184,worry1,I WORRY TOO MUCH OVER SOMETHING THAT DOES NOT MATTER,NUMERIC,1=ALMOST NEVER; 2=SOMETIMES; 3=OFTEN; 4=ALMOST ALWAYS,Exam1
185,hprb1pt1,SERIOUS ONGOING HEALTH PROBLEM (SELF),NUMERIC,0=NO; 1=YES,Exam1
186,hprb2pt1,"ONGOING HEALTH PROBLEM (SELF), > 6 MOTHTHS",NUMERIC,0=NO; 1=YES,Exam1
187,hprb3pt1,"ONGOING HEALTH PROBLEM (SELF), HOW STRESSFUL",NUMERIC,1=NOT VERY STRESSFUL; 2=MODERATELY STRESSFUL; 3=VERY STRESSFUL,Exam1
188,hprb1ot1,SERIOUS ONGOING HEALTH PROBLEM (SOMEONE CLOSE TO YOU),NUMERIC,0=NO; 1=YES,Exam1
189,hprb2ot1,"ONGOING HEALTH PROBLEM (SOMEONE CLOSE TO YOU), >6 MONTHS",NUMERIC,0=NO; 1=YES,Exam1
190,hprb3ot1,"ONGOING HEALTH PROBLEM (SOMEONE CLOSE TO YOU), HOW STRESSFUL",NUMERIC,1=NOT VERY STRESSFUL; 2=MODERATELY STRESSFUL; 3=VERY STRESSFUL,Exam1
191,job1prb1,ONGOING JOB DIFFICULTIES,NUMERIC,0=NO; 1=YES,Exam1
192,job2prb1,"ONGOING JOB DIFFICULTIES, > 6 MONTHS",NUMERIC,0=NO; 1=YES,Exam1
193,job3prb1,"ONGOING JOB DIFFICULTIES, HOW STRESSFUL",NUMERIC,1=NOT VERY STRESSFUL; 2=MODERATELY STRESSFUL; 3=VERY STRESSFUL,Exam1
194,mon1prb1,ONGOING FINANCIAL STRAIN,NUMERIC,0=NO; 1=YES,Exam1
195,mon2prb1,"ONGOING FINANCIAL STRAIN, > 6 MONTHS",NUMERIC,0=NO; 1=YES,Exam1
196,mon3prb1,"ONGOING FINANCIAL STRAIN, HOW STRESSFUL",NUMERIC,1=NOT VERY STRESSFUL; 2=MODERATELY STRESSFUL; 3=VERY STRESSFUL,Exam1
197,rel1prb1,ONGOING RELATIONSHIP PROBLEMS,NUMERIC,0=NO; 1=YES,Exam1
198,rel2prb1,"ONGOING RELATIONSHIP PROBLEMS, > 6 MONTHS",NUMERIC,0=NO; 1=YES,Exam1
199,rel3prb1,"ONGOING RELATIONSHIP PROBLEMS, HOW STRESSFUL",NUMERIC,1=NOT VERY STRESSFUL; 2=MODERATELY STRESSFUL; 3=VERY STRESSFUL,Exam1
200,bother1,"BOTHERED BY THINGS, PAST WEEK",NUMERIC,1=<1 DAY; 2=1-2 DAYS; 3=3-4 DAYS; 4=5-7 DAYS,Exam1
201,noteat1,"POOR APPETITE, PAST WEEK",NUMERIC,1=<1 DAY; 2=1-2 DAYS; 3=3-4 DAYS; 4=5-7 DAYS,Exam1
202,blue1,"COULD NOT SHAKE THE BLUES, PAST WEEK",NUMERIC,1=<1 DAY; 2=1-2 DAYS; 3=3-4 DAYS; 4=5-7 DAYS,Exam1
203,asgood1,"FELT I WAS AS GOOD AS OTHER PEOPLE, PAST WEEK",NUMERIC,1=<1 DAY; 2=1-2 DAYS; 3=3-4 DAYS; 4=5-7 DAYS,Exam1
204,concntr1,"TROUBLE KEEPING MY MIND ON WHAT I'M DOING, PAST WEEK",NUMERIC,1=<1 DAY; 2=1-2 DAYS; 3=3-4 DAYS; 4=5-7 DAYS,Exam1
205,depress1,"FELT DEPRESSED, PAST WEEK",NUMERIC,1=<1 DAY; 2=1-2 DAYS; 3=3-4 DAYS; 4=5-7 DAYS,Exam1
206,effort1,"FELT EVERYTHING WAS AN EFFORT, PAST WEEK",NUMERIC,1=<1 DAY; 2=1-2 DAYS; 3=3-4 DAYS; 4=5-7 DAYS,Exam1
207,hopeful1,"FELT HOPEFUL ABOUT FUTURE, PAST WEEK",NUMERIC,1=<1 DAY; 2=1-2 DAYS; 3=3-4 DAYS; 4=5-7 DAYS,Exam1
208,lffail1,"THOUGHT LIFE HAD BEEN A FAILURE, PAST WEEK",NUMERIC,1=<1 DAY; 2=1-2 DAYS; 3=3-4 DAYS; 4=5-7 DAYS,Exam1
209,fearful1,"FELT FEARFUL, PAST WEEK",NUMERIC,1=<1 DAY; 2=1-2 DAYS; 3=3-4 DAYS; 4=5-7 DAYS,Exam1
210,badslp1,"SLEEP WAS RESTLESS, PAST WEEK",NUMERIC,1=<1 DAY; 2=1-2 DAYS; 3=3-4 DAYS; 4=5-7 DAYS,Exam1
211,happy1,"WAS HAPPY, PAST WEEK",NUMERIC,1=<1 DAY; 2=1-2 DAYS; 3=3-4 DAYS; 4=5-7 DAYS,Exam1
212,lestalk1,"TALKED LESS THAN USUAL, PAST WEEK",NUMERIC,1=<1 DAY; 2=1-2 DAYS; 3=3-4 DAYS; 4=5-7 DAYS,Exam1
213,lonely1,"FELT LONELY, PAST WEEK",NUMERIC,1=<1 DAY; 2=1-2 DAYS; 3=3-4 DAYS; 4=5-7 DAYS,Exam1
214,unfrnly1,"PEOPLE WERE UNFRIENDLY, PAST WEEK",NUMERIC,1=<1 DAY; 2=1-2 DAYS; 3=3-4 DAYS; 4=5-7 DAYS,Exam1
215,enjlife1,"ENJOYED LIFE, PAST WEEK",NUMERIC,1=<1 DAY; 2=1-2 DAYS; 3=3-4 DAYS; 4=5-7 DAYS,Exam1
216,cryspel1,"HAD CRYING SPELLS, PAST WEEK",NUMERIC,1=<1 DAY; 2=1-2 DAYS; 3=3-4 DAYS; 4=5-7 DAYS,Exam1
217,sad1,"FELT SAD, PAST WEEK",NUMERIC,1=<1 DAY; 2=1-2 DAYS; 3=3-4 DAYS; 4=5-7 DAYS,Exam1
218,dislikd1,"FELT PEOPLE DISLIKED ME, PAST WEEK",NUMERIC,1=<1 DAY; 2=1-2 DAYS; 3=3-4 DAYS; 4=5-7 DAYS,Exam1
219,getgoin1,"COULD NOT ""GET GOING"", PAST WEEK",NUMERIC,1=<1 DAY; 2=1-2 DAYS; 3=3-4 DAYS; 4=5-7 DAYS,Exam1
220,talkto1,SOMEONE AVAILABLE TO LISTEN TO YOU,NUMERIC,1=NONE OF THE TIME; 2=A LITTLE OF THE TIME; 3=SOME OF THE TIME; 4=MOST OF THE TIME; 5=ALL OF THE TIME,Exam1
221,advice1,SOMEONE AVAILABLE TO GIVE YOU ADVICE,NUMERIC,1=NONE OF THE TIME; 2=A LITTLE OF THE TIME; 3=SOME OF THE TIME; 4=MOST OF THE TIME; 5=ALL OF THE TIME,Exam1
222,affectn1,SOMEONE AVAILABLE TO SHOW YOU LOVE AND AFFECTION,NUMERIC,1=NONE OF THE TIME; 2=A LITTLE OF THE TIME; 3=SOME OF THE TIME; 4=MOST OF THE TIME; 5=ALL OF THE TIME,Exam1
223,hlpchr1,SOMEONE AVAILABLE TO HELP WITH DAILY CHORES,NUMERIC,1=NONE OF THE TIME; 2=A LITTLE OF THE TIME; 3=SOME OF THE TIME; 4=MOST OF THE TIME; 5=ALL OF THE TIME,Exam1
224,emospt1,SOMEONE AVAILABLE TO PROVIDE EMOTIONAL SUPPORT,NUMERIC,1=NONE OF THE TIME; 2=A LITTLE OF THE TIME; 3=SOME OF THE TIME; 4=MOST OF THE TIME; 5=ALL OF THE TIME,Exam1
